"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics (MW/GWh)
"United Republic of Tanzania (the)","Total Renewable","Electricity Generation (GWh)","Off-grid","2023",-
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2000",14.85
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2001",14.64
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2002",14.88
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2003",15.03
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2004",57.50
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2005",1430.89
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2006",1437.60
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2007",1409.83
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2008",1677.83
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2009",2061.14
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2010",2327.83
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2011",2435.47
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2012",2454.67
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2013",2868.10
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2014",2815.60
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2015",4208.80
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2016",4546.40
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2017",4569.00
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2018",4929.60
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2019",5139.10
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2020",4536.30
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2021",5276.00
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2022",6677.20
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2023",-
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2000",6.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2001",6.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2002",6.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2003",6.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2004",6.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2005",6.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2006",6.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2007",6.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2008",6.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2009",6.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2010",13.98
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2011",17.92
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2012",21.21
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2013",21.65
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2014",21.65
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2015",21.65
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2016",21.65
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2017",21.65
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2018",21.90
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2019",21.90
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2020",21.90
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2021",21.91
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2022",21.91
"United Republic of Tanzania (the)","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2023",-
